Unnamed: 0;Name;Family;Born;Sigil;Serves;Known As;Occupation;Relation;Death
Princess;Sansa;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/6/69/Baelish%28Harrenhal%29CoA.png"")";Alayne Stone;Lady of Winterfell (disputed), Cersei Lannister's ward;Eddard's Daughter;
;Benjen;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";Ben, Pup;First Ranger;Rickard's Son;Killed by Others north of the Wall
Maester;Luwin;;;;"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";;Winterfell maester;;Killed by Osha at Winterfell
Lord;Jon;Arryn;"image(""http://awoiaf.westeros.org/images/b/be/House_Arryn.PNG"")";"image(""http://awoiaf.westeros.org/images/b/be/House_Arryn.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";;Hand of King Robert I, Warden of the East, Defender of the Vale, Lord of the Eyrie, Keeper of the Gates of the Moon;Jasper's Son;Killed by Hugh of the Vale at King's Landing
King;Aerys II;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";King Scab, Mad King;King;Jaehaerys II's Son;Killed by Jaime Lannister at King's Landing
Lord;Hoster;Tully;"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";;Lord of Riverrun;;Died of old age at Riverrun
Grand Maester;Pycelle;;;;"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Grand Maester;;
Ser;Brynden;Tully;"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";"image(""http://awoiaf.westeros.org/images/7/79/Brynden_Tully_personal_arms.png"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Blackfish;Warden of the Southern Marches (disputed), Robb Stark's scout commander, Knight of the Bloody Gate, Lord Darry squire;Hoster's Brother;
Lady;Lysa;Tully;"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";"image(""http://awoiaf.westeros.org/images/6/69/Baelish%28Harrenhal%29CoA.png"")";"image(""http://awoiaf.westeros.org/images/6/69/Baelish%28Harrenhal%29CoA.png"")";;Lady of the Eyrie;Hoster's Daughter;Killed by Petyr Baelish at the Eyrie
Queen;Cersei;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";Light of the West;Queen, Regent;Tywin's Daughter;
King;Tommen I;Baratheon;"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;"King (disputed), ""Widow's Wail"" wielder";Jaime's Bastard;
;004 Daenerys;;;;;;;;
Queen;Daenerys I;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Breaker of Chains, Daenerys Stormborn, Mother of Dragons, Silver Lady, Unburnt;Queen, Khaleesi;Aerys II's Daughter;
Magister;Illyrio;Mopatis;;;;;Pentos magister;;
King;Viserys III;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Beggar King, Cart King, Sorefoot King;King;Aerys II's Son;Killed by Khal Drogo at Vaes Dothrak
Khal;Drogo;;;;;;Khal;Bharbo's Son;Killed by Daenerys I Targaryen in the Dothraki Sea
Prince;Rhaegar;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Dragon Prince;Prince of Dragonstone;Aerys II's Son;Killed by Robert I Baratheon at the Battle of the Trident
Princess;Elia;Martell;"image(""http://awoiaf.westeros.org/images/d/d6/MartellCoA.png"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Princess;;Killed by Gregor Clegane at King's Landing
Ser;Willem;Darry;"image(""http://awoiaf.westeros.org/images/2/22/House_Darry.png"")";"image(""http://awoiaf.westeros.org/images/2/22/House_Darry.png"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Dragonstone master-at-arms;;Died of illness at Braavos
King;Aegon I;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Aegon the Conquerer, Aegon the Dragonlord;"King, ""Blackfyre"" wielder";;Historical Character
Khal;Moro;;;;;;Khal;;
Khalakka;Rhogoro;;;;;;;Moro's Son;
Ser;Jorah;Mormont;"image(""http://awoiaf.westeros.org/images/c/c9/House_Mormont.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c9/House_Mormont.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Iron Lord, Jorah the Andal;"Lord Commander of the Queensguard, Lord of Bear Island, ""Longclaw"" wielder";Jeor's Son;
;005 Eddard;;;;;;;;
Ser;Jaime;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";Kingslayer, Lion of Lannister;"Warden of the East (disputed), Lord Commander of the Kingsguard, Sumner Crakehall's squire, ""Oathkeeper"" wielder";Tywin's Son;
;Sandor;Clegane;"image(""http://awoiaf.westeros.org/images/8/83/House_Clegane.png"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";;Hound;Kingsguard, Joffrey I Baratheon's bodyguard;Gregor's Brother;Died of injuries from Polliver near Saltpans
Lord;Tyrion;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/0/04/Tyrion_Lannister_personal_arms.png"")";"image(""http://awoiaf.westeros.org/images/0/04/Tyrion_Lannister_personal_arms.png"")";Giant of Lannister, Halfman, Imp;Lord of Winterfell (disputed), Hand of King Joffrey I (acting), Master of coin;Tywin's Son;
King;Balon;Greyjoy;"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";"image(""http://awoiaf.westeros.org/images/f/f3/Greyjoy_coat_sigil.png"")";Balon the Bold, Balon the Brave, Balon Twice-Crowned, Balon the Widowmaker;"King of the Iron Islands and the North (disputed), King of Salt and Rock, Lord Reaper of Pyke, ""Great Kraken"" captain";Quellon's Son;Died after falling from a bridge at Pyke
;Brandon;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Wild Wolf;;Rickard's Son;Forced suicide at King's Landing
Lord;Rickard;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Warden of the North, Lord of Winterfell;Edwyle's Son;Killed by Rossart at King's Landing
Lady;Lyanna;Stark;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Lya, She-Wolf;;Rickard's Daughter;Died of fever at the Tower of Joy
Lord;Howland;Reed;"image(""http://awoiaf.westeros.org/images/6/6e/House_Reed.PNG"")";"image(""http://awoiaf.westeros.org/images/6/6e/House_Reed.PNG"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Lord of the Greywater Watch;;
Lord;Tywin;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";Great Lion of the Rock;Hand of King Joffrey I, Hand of King Aerys II, Warden of the West, Lord of Casterly Rock;Tytos' Son;Killed by Tyrion Lannister in the Tower of the Hand
Lord;Robert;Arryn;"image(""http://awoiaf.westeros.org/images/b/be/House_Arryn.PNG"")";"image(""http://awoiaf.westeros.org/images/b/be/House_Arryn.PNG"")";;Robin, Sweetrobin;Warden of the East (disputed), Defender of the Vale, Lord of the Eyrie;Jon's Son;
King;Joffrey I;Baratheon;"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";Joff, Joffrey the Illborn;"King (disputed), ""Widow's Wail"" wielder";Jaime's Bastard;Killed by Olenna Tyrell at King's Landing
;006 Jon;;;;;;;;
Princess;Myrcella;Baratheon;"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;;Princess;Jaime's Bastard;
;Ghost;;;;;;Direwolf;Jon's Direwolf;
King;Daeron I;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Young Dragon;"King, ""Blackfyre"" wielder";Aegon III's Son;Historical Character
;007 Catelyn;;;;;;;;
Lord;Edmure;Tully;"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";;;Lord of Riverrun, Lannister captive;Hoster's Son;
Ser;Arthur;Dayne;"image(""http://awoiaf.westeros.org/images/1/15/DayneCoA.png"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Sword of the Morning;Kingsguard;;Killed by Starks at the Tower of Joy
Lady;Ashara;Dayne;"image(""http://awoiaf.westeros.org/images/1/15/DayneCoA.png"")";"image(""http://awoiaf.westeros.org/images/1/15/DayneCoA.png"")";;;;;Commited suicide at Starfall
;008 Arya;;;;;;;;
Septa;Mordane;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Stark septa;;Killed by Lannisters at King's Landing
;Beth;Cassel;"image(""http://awoiaf.westeros.org/images/c/c3/House_Cassel.PNG"")";"image(""http://awoiaf.westeros.org/images/c/c3/House_Cassel.PNG"")";;;;Rodrik's Daughter;
Lady;Jeyne;Poole;"image(""http://awoiaf.westeros.org/images/e/eb/HousePoole.png"")";"image(""http://awoiaf.westeros.org/images/7/76/Bolton.png"")";"image(""http://awoiaf.westeros.org/images/7/76/Bolton.png"")";Arya Stark;Lady of Winterfell (disputed);Vayon's Daughter;
;Nymeria;;;;;;Direwolf;Arya's Direwolf;
Queen;Nymeria;;;"image(""http://awoiaf.westeros.org/images/b/ba/House_Martell.PNG"")";"image(""http://awoiaf.westeros.org/images/b/ba/House_Martell.PNG"")";;Queen of the Rhoyne;;Historical Character
;Lady;;;;;;Direwolf;Sansa's Direwolf;Killed by Eddard Stark at Castle Darry
;Lew;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Winterfell guard;;
;Donnis;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Winterfell guard;;
;009 Bran;;;;;;;;
;Serwyn;;;"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Serwyn of the Mirror Shield;Kingsguard;;Historical Character
Ser;Ryam;Redwyne;"image(""http://awoiaf.westeros.org/images/b/b1/House_Redwyne2.png"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Hand of King Jaehaerys I, Kingsguard;;Historical Character
Prince;Aemon;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Aemon the Dragonknight, Knight of Tears;"Kingsguard, ""Dark Sister"" wielder";Viserys II's Son;Historical Character
Ser;Erryk;Cargyll;"image(""http://awoiaf.westeros.org/images/5/58/House_Cargyll.PNG"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Kingsguard;Arryk's Brother;Historical Character
Ser;Arryk;Cargyll;"image(""http://awoiaf.westeros.org/images/5/58/House_Cargyll.PNG"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Kingsguard;Erryk's Brother;Historical Character
Ser;Gerold;Hightower;"image(""http://awoiaf.westeros.org/images/7/7c/House_Hightower.png"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";White Bull;Lord Commander of the Kingsguard;;Killed by Starks at the Tower of Joy
Ser;Barristan;Selmy;"image(""http://awoiaf.westeros.org/images/6/61/Selmy.png"")";"image(""http://awoiaf.westeros.org/images/6/61/Selmy.png"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Barristan the Bold, Whitebeard;Lord Commander of the Kingsguard, Daenerys I Targaryen's squire, Manfred Swann's squire, Strong Belwas' squire;Lyonel's Son;
Ser;Boros;Blount;"image(""http://awoiaf.westeros.org/images/e/e8/House_Blount.PNG"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";Boros the Belly;Kingsguard (reinstated);;
Ser;Meryn;Trant;"image(""http://awoiaf.westeros.org/images/5/5d/House_Trant.png"")";"image(""http://awoiaf.westeros.org/images/1/15/Kingsguard.PNG"")";"image(""http://awoiaf.westeros.org/images/5/5d/Joffrey_sigil_coat.png"")";;Kingsguard;;
;Gage;;;;;;Winterfell cook;;
;Mikken;;;;;;Winterfell smithy;;Killed by Stygg at Winterfell
;Walder;;;;;Hodor;Winterfell stableboy;Nan's Great-Grandson;
;Grey Wind;;;;;;Direwolf;Robb's Direwolf;Killed by Freys at the Twins
;Shaggydog;;;;;Shaggy;Direwolf;Rickon's Direwolf;
King;Stannis I;Baratheon;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";"image(""http://awoiaf.westeros.org/images/2/2e/Stannis_sigil_coat.png"")";;King (disputed), Lord of Dragonstone, Master of ships;Steffon's Son;
King;Renly I;Baratheon;"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";"image(""http://awoiaf.westeros.org/images/d/d1/House_Baratheon.PNG"")";;King (disputed), Master of laws, Lord of Storm's End;Steffon's Son;Killed by a shadow at the siege of Storm's End
;010 Tyrion;;;;;;;;
Grand Maester;Aethelmure;;;;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Grand Maester;;Historical Character
Septon;Chayle;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Winterfell septon;;Killed by Greyjoys at Winterfell
;Ayrmidon;;;;;;;;Historical Character
;011 Jon;;;;;;;;
;012 Daenerys;;;;;;;;
;Irri;;;;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Daenerys' handmaiden;;
;Jhiqui;;;;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Daenerys' handmaiden;;
;Doreah;;;;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Daenerys' handmaiden;;Died of fever in the Red Waste
;Haggo;;;;;;Drogo's bloodrider;;Killed by Haggo in the Dothraki Sea
;Cohollo;;;;;;Drogo's bloodrider;;Killed by Aggo in the Dothraki Sea
;Qotho;;;;;;Drogo's bloodrider;;Killed by Jorah Mormont in the Dothraki Sea
;013 Eddard;;;;;;;;
Captain;Alyn;;;;"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Stark captain of the household guard;;Killed by Cleganes in the Riverlands
;Becca;;;;;;;;
;Aleena;;;;;;;;
;Merryl;;;;;;;;
;Wylla;;;;"image(""http://awoiaf.westeros.org/images/1/15/DayneCoA.png"")";;Dayne wet nurse;Jon's Mother;
King;Baelor I;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";Baelor the Beloved, Baelor the Blessed;"King, ""Blackfyre"" wielder";Aegon III's Son;Historical Character
Lord;Varys;;;;;Rugen, Spider;Master of whisperers, King's Landing undergaoler (alias);;
;014 Tyrion;;;;;;;;
;Yoren;;;;"image(""http://awoiaf.westeros.org/images/4/47/Minigdn.png"")";;Castle Black recruiter;;Killed by Lannisters near the Gods Eye
;Balerion;;;;;Black Dread;Dragon;Aegon I's Dragon;Historical Character
;Meraxes;;;;;;Dragon;Rhaenys' Dragon;Historical Character
;Vhaghar;;;;;;Dragon;Visenya's Dragon;Historical Character
King;Loren I;Lannister;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;King of the Rock;;Historical Character
King;Mern IX;Gardener;"image(""http://awoiaf.westeros.org/images/9/9a/House_Gardner.PNG"")";"image(""http://awoiaf.westeros.org/images/9/9a/House_Gardner.PNG"")";"image(""http://awoiaf.westeros.org/images/9/9a/House_Gardner.PNG"")";;King of the Reach;;Historical Character
;Morrec;;;;"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;Tyrion's servant;;Died of fever on the high road
;015 Catelyn;;;;;;;;
;Vayon;Poole;"image(""http://awoiaf.westeros.org/images/e/eb/HousePoole.png"")";"image(""http://awoiaf.westeros.org/images/e/eb/HousePoole.png"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";;Stark steward;;Killed by Lannisters at King's Landing
Captain;Hallis;Mollen;"image(""http://awoiaf.westeros.org/images/4/46/Mollen.png"")";"image(""http://awoiaf.westeros.org/images/4/46/Mollen.png"")";"image(""http://awoiaf.westeros.org/images/5/51/House_Stark.PNG"")";Hal;Winterfell captain of the household guard, Catelyn Stark's escort;;
;016 Sansa;;;;;;;;
;Mycah;;;;;;;;Killed by Sandor Clegane near Castle Darry
Ser;Ilyn;Payne;"image(""http://awoiaf.westeros.org/images/b/bb/House_Payne.png"")";"image(""http://awoiaf.westeros.org/images/b/bb/House_Payne.png"")";"image(""http://awoiaf.westeros.org/images/8/88/House_Lannister.png"")";;"King's Justice, Tywin Lannister's captain of the Hand's guard, Lannister captain, ""Ice"" wielder";;
Princess;Daeryssa;;;;;;Princess;;Historical Character
Queen;Naerys;Targaryen;"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";"image(""http://awoiaf.westeros.org/images/4/43/House_Targaryen.PNG"")";;Queen;Viserys II's Daughter;Historical Character
Ser;Morgil;Hastwyck;"image(""http://awoiaf.westeros.org/images/8/87/House_Hastwyck.PNG"")";"image(""http://awoiaf.westeros.org/images/8/87/House_Hastwyck.PNG"")";;Morghil;;;Historical Character
;017 Eddard;;;;;;;;
Ser;Raymun;Darry;"image(""http://awoiaf.westeros.org/images/2/22/House_Darry.png"")";"image(""http://awoiaf.westeros.org/images/2/22/House_Darry.png"")";"image(""http://awoiaf.westeros.org/images/2/23/House_Tully.PNG"")";;Lord of Castle Darry;;Killed by Cleganes at the Mummer's Ford
;018 Bran;;;;;;;;
;Summer;;;;;;Direwolf;Bran's Direwolf;
;019 Catelyn;;;;;;;;
